record_id,plot_id,farm_id,crop,state,year,season,date,chemical_name,chemical_type,chemical_category,application_rate,unit,application_method,weather_at_application,temperature_c,notes
CHEM-0001,plot-001a,farm-001,Rice,Punjab,2020,Kharif,2020-07-08,DAP (18-46-0),fertilizer,phosphorus,51.3,kg/ha,band,cloudy,34.7,
CHEM-0002,plot-001a,farm-001,Rice,Punjab,2020,Kharif,2020-05-01,DAP (18-46-0),fertilizer,phosphorus,79.5,kg/ha,broadcast,cloudy,24.7,
CHEM-0003,plot-001a,farm-001,Rice,Punjab,2020,Kharif,2020-08-08,Urea (46-0-0),fertilizer,nitrogen,119.3,kg/ha,drip,light rain,36.2,
CHEM-0004,plot-001a,farm-001,Rice,Punjab,2020,Kharif,2020-06-23,Urea (46-0-0),fertilizer,nitrogen,133.1,kg/ha,drip,light rain,25.6,
CHEM-0005,plot-001a,farm-001,Rice,Punjab,2020,Kharif,2020-09-04,Propiconazole 25EC,pesticide,fungicide,440.9,ml/ha,power sprayer,cloudy,31.7,
CHEM-0006,plot-001a,farm-001,Rice,Punjab,2021,Kharif,2021-08-03,Borax,fertilizer,micronutrient,10.4,kg/ha,foliar,light rain,31.5,
CHEM-0007,plot-001a,farm-001,Rice,Punjab,2021,Kharif,2021-06-25,DAP (18-46-0),fertilizer,phosphorus,52.3,kg/ha,foliar,clear,37.1,
CHEM-0008,plot-001a,farm-001,Rice,Punjab,2021,Kharif,2021-08-06,Glyphosate 41SL,pesticide,herbicide,1917.0,ml/ha,power sprayer,cloudy,25.4,
CHEM-0009,plot-001a,farm-001,Rice,Punjab,2022,Kharif,2022-06-18,DAP (18-46-0),fertilizer,phosphorus,80.5,kg/ha,band,cloudy,29.2,
CHEM-0010,plot-001a,farm-001,Rice,Punjab,2022,Kharif,2022-06-22,Ammonium Sulphate,fertilizer,nitrogen,119.3,kg/ha,foliar,clear,24.6,
CHEM-0011,plot-001a,farm-001,Rice,Punjab,2022,Kharif,2022-08-09,Urea (46-0-0),fertilizer,nitrogen,136.4,kg/ha,broadcast,cloudy,38.3,
CHEM-0012,plot-001a,farm-001,Rice,Punjab,2022,Kharif,2022-09-13,Propiconazole 25EC,pesticide,fungicide,485.1,ml/ha,drone,clear morning,26.2,
CHEM-0013,plot-001a,farm-001,Rice,Punjab,2022,Kharif,2022-08-24,Mancozeb 75WP,pesticide,fungicide,2617.5,g/ha,drone,evening calm,28.4,
CHEM-0014,plot-001a,farm-001,Rice,Punjab,2022,Kharif,2022-07-17,Mancozeb 75WP,pesticide,fungicide,2996.0,g/ha,drone,clear morning,34.1,
CHEM-0015,plot-001a,farm-001,Rice,Punjab,2023,Kharif,2023-08-20,MOP (0-0-60),fertilizer,potassium,61.4,kg/ha,broadcast,overcast,27.6,
CHEM-0016,plot-001a,farm-001,Rice,Punjab,2023,Kharif,2023-05-22,Borax,fertilizer,micronutrient,10.3,kg/ha,broadcast,light rain,35.4,
CHEM-0017,plot-001a,farm-001,Rice,Punjab,2023,Kharif,2023-07-15,Imidacloprid 17.8SL,pesticide,insecticide,115.2,ml/ha,foliar spray,evening calm,36.0,
CHEM-0018,plot-001a,farm-001,Rice,Punjab,2023,Kharif,2023-07-17,Carbendazim 50WP,pesticide,fungicide,493.0,g/ha,foliar spray,evening calm,26.8,
CHEM-0019,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-06-18,NPK 20:20:0,fertilizer,complex,69.2,kg/ha,broadcast,light rain,29.8,
CHEM-0020,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-07-08,DAP (18-46-0),fertilizer,phosphorus,96.5,kg/ha,broadcast,cloudy,37.6,
CHEM-0021,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-08-27,DAP (18-46-0),fertilizer,phosphorus,54.3,kg/ha,broadcast,cloudy,22.6,
CHEM-0022,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-06-09,Borax,fertilizer,micronutrient,14.5,kg/ha,drip,cloudy,38.6,
CHEM-0023,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-09-22,Mancozeb 75WP,pesticide,fungicide,2569.4,g/ha,power sprayer,cloudy,36.4,
CHEM-0024,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-07-03,"2,4-D Sodium Salt 80WP",pesticide,herbicide,560.5,g/ha,power sprayer,clear morning,31.4,
CHEM-0025,plot-001a,farm-001,Rice,Punjab,2024,Kharif,2024-06-03,Mancozeb 75WP,pesticide,fungicide,2382.7,g/ha,foliar spray,clear morning,23.1,
CHEM-0026,plot-001a,farm-001,Rice,Punjab,2025,Kharif,2025-06-09,SSP (Single Super Phosphate),fertilizer,phosphorus,107.1,kg/ha,drip,cloudy,30.8,
